"","daytime_pop","daytime_density","travel_to","DP0010001","brewery","cafe","medinc","b_hs","hs","phd","oldpop","youngpop","dist1","dist2","dist3","dist4","zone","hood"
"4244",2756,1289.47858464285,621,4848,0,0,70689,7.3,16.9,23,4085,574,1,1,7,10,"Residential Single Family 7200","Broadview"
"4245",3727,2907.40534160648,1172,5551,0,0,32196,5.4,30.3,11.9,4798,683,0,0,3,5,"Residential Single Family 7200","Broadview"
"4246",2627,2051.98785835582,921,4234,0,0,65984,24.2,32,13.9,3583,359,0,0,1,2,"Commercial 1","Greenwood"
"4247",2756,1289.47858464285,621,4848,0,0,70689,7.3,16.9,23,4085,574,0,0,1,1,"Lowrise 1","Greenwood"
"4248",3957,2199.63356117171,1487,4841,0,0,61184,4.1,39.4,17.2,4400,218,0,1,6,7,"Residential Single Family 7200","Broadview"
"4249",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,0,1,4,7,"Residential Single Family 9600","Broadview"
"4250",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,1,3,9,9,"Residential Single Family 9600","Broadview"
"4251",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,0,0,0,0,"Residential Single Family 9600","Broadview"
"4252",2756,1289.47858464285,621,4848,0,0,70689,7.3,16.9,23,4085,574,0,1,1,7,"Residential Single Family 7200","Broadview"
"4253",3727,2907.40534160648,1172,5551,0,0,32196,5.4,30.3,11.9,4798,683,0,0,2,2,"Residential Single Family 7200","Broadview"
"4254",2803,1373.33226850679,813,4131,0,0,102558,3.6,27.7,28.3,3256,224,0,0,0,2,"Residential Single Family 7200","North Beach/Blue Ridge"
"4255",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,1,1,5,8,"Residential Single Family 7200","Broadview"
"4256",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,0,1,4,9,"Residential Single Family 7200","Broadview"
"4257",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,0,4,4,10,"Residential Single Family 7200","Broadview"
"4258",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,2,2,2,2,"Residential Single Family 9600","Broadview"
"4259",3957,2199.63356117171,1487,4841,0,0,61184,4.1,39.4,17.2,4400,218,1,3,3,8,"Residential Single Family 7200","Broadview"
"4260",3957,2199.63356117171,1487,4841,0,0,61184,4.1,39.4,17.2,4400,218,0,6,9,11,"Residential Single Family 7200","Broadview"
"4261",2756,1289.47858464285,621,4848,0,0,70689,7.3,16.9,23,4085,574,0,0,1,1,"Residential Single Family 7200","Greenwood"
"4262",2803,1373.33226850679,813,4131,0,0,102558,3.6,27.7,28.3,3256,224,0,0,0,1,"Residential Single Family 7200","North Beach/Blue Ridge"
"4263",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,0,1,1,10,"Residential Single Family 9600","Broadview"
"4264",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,1,4,4,11,"Residential Single Family 7200","Broadview"
"4265",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,0,0,0,0,"Residential Single Family 9600","Broadview"
"4266",2756,1289.47858464285,621,4848,0,0,70689,7.3,16.9,23,4085,574,0,1,2,3,"Residential Single Family 9600","Broadview"
"4267",2756,1289.47858464285,621,4848,0,0,70689,7.3,16.9,23,4085,574,0,0,1,1,"Residential Single Family 7200","Crown Hill"
"4268",2803,1373.33226850679,813,4131,0,0,102558,3.6,27.7,28.3,3256,224,0,0,0,0,"Residential Single Family 7200","North Beach/Blue Ridge"
"4269",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,0,1,2,6,"Residential Single Family 9600","Broadview"
"4270",2756,1289.47858464285,621,4848,0,0,70689,7.3,16.9,23,4085,574,0,1,2,5,"Residential Single Family 9600","Broadview"
"4271",2756,1289.47858464285,621,4848,0,0,70689,7.3,16.9,23,4085,574,0,1,1,2,"Residential Single Family 7200","North Beach/Blue Ridge"
"4272",3727,2907.40534160648,1172,5551,0,0,32196,5.4,30.3,11.9,4798,683,0,0,2,2,"Residential Single Family 7200","Broadview"
"4273",2803,1373.33226850679,813,4131,0,0,102558,3.6,27.7,28.3,3256,224,0,0,0,0,"Residential Single Family 7200","North Beach/Blue Ridge"
"4274",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,1,3,7,18,"Residential Single Family 9600","Broadview"
"4275",2756,1289.47858464285,621,4848,0,0,70689,7.3,16.9,23,4085,574,0,0,0,4,"Residential Single Family 9600","Broadview"
"4276",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,0,2,2,6,"Residential Single Family 9600","Broadview"
"4277",2803,1373.33226850679,813,4131,0,0,102558,3.6,27.7,28.3,3256,224,0,0,0,0,"Residential Single Family 7200","North Beach/Blue Ridge"
"4278",2756,1289.47858464285,621,4848,0,0,70689,7.3,16.9,23,4085,574,0,0,0,2,"Residential Single Family 7200","North Beach/Blue Ridge"
"4279",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,1,9,12,16,"Residential Single Family 9600","Broadview"
"4280",2756,1289.47858464285,621,4848,0,0,70689,7.3,16.9,23,4085,574,0,0,1,3,"Residential Single Family 9600","Broadview"
"4281",1801,624.715998765137,115,3165,0,0,126544,27.9,21.8,29,2379,147,0,1,1,10,"Residential Single Family 9600","Broadview"
"4282",2803,1373.33226850679,813,4131,0,0,102558,3.6,27.7,28.3,3256,224,0,0,0,0,"Residential Single Family 7200","North Beach/Blue Ridge"
